,T_GUS_25,T_CCD8_7,T_CCD8_9,T_CCD8_16,T_722_12,T_MMA_4,T_GUS_10,T_722_15,T_MMA_3,T_EP_4,T_712_7,T_EP_3,T_712_9,T_722_14,T_722_13,T_MMA_5,T_GUS_16,T_CCD8_10,T_GUS_18,T_MMA_11,T_712_11,T_712_16,T_CCD8_8,T_712_18,T_GUS_23,T_CCD8_1,T_722_5,T_712_8,T_712_6,T_EP_2,T_722_1,T_722_6,T_712_2,T_EP_1,T_MMA_6,T_GUS_12,T_722_17,T_MMA_1,T_MMA_12,T_CCD8_14,T_CCD8_13,T_CCD8_5,T_GUS_20,T_712_4,T_722_9,T_GUS_21,T_GUS_26,T_CCD8_3,T_712_13,T_712_14,T_MMA_13,T_CCD8_15,T_GUS_13,T_722_16
16S_rRNA_methyltrans,,,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,6.0,,,,,,17.0,,,,,,,
AAC3,849.0,695.0,735.0,749.0,844.0,774.0,885.0,814.0,775.0,943.0,658.0,994.0,619.0,792.0,733.0,565.0,977.0,710.0,770.0,747.0,464.0,627.0,642.0,754.0,833.0,928.0,722.0,758.0,670.0,1099.0,808.0,767.0,691.0,945.0,605.0,678.0,857.0,832.0,853.0,605.0,763.0,827.0,832.0,654.0,958.0,922.0,712.0,825.0,634.0,696.0,780.0,711.0,687.0,695.0
AAC3-I,2283.0,2323.0,1984.0,1680.0,1884.0,2182.0,2074.0,2075.0,2162.0,1440.0,1786.0,1500.0,1772.0,1895.0,1789.0,1976.0,2746.0,1785.0,2203.0,2204.0,1309.0,2039.0,1665.0,1523.0,2201.0,2058.0,2574.0,1799.0,1820.0,1783.0,1911.0,1631.0,1650.0,1478.0,1900.0,2136.0,1863.0,1885.0,2181.0,1691.0,1921.0,2166.0,2213.0,1775.0,2175.0,2032.0,2085.0,2388.0,1934.0,1666.0,2076.0,2108.0,1962.0,2047.0
AAC6-I,858.0,776.0,718.0,720.0,802.0,662.0,695.0,863.0,636.0,868.0,591.0,742.0,810.0,805.0,748.0,910.0,826.0,807.0,843.0,778.0,786.0,602.0,620.0,483.0,749.0,833.0,656.0,701.0,596.0,718.0,663.0,669.0,490.0,984.0,631.0,860.0,785.0,827.0,804.0,873.0,604.0,604.0,729.0,729.0,796.0,683.0,780.0,957.0,702.0,687.0,774.0,655.0,692.0,712.0
AAC6-II,2521.0,2581.0,2387.0,2135.0,2439.0,2288.0,2450.0,2702.0,2625.0,2927.0,1884.0,2841.0,2143.0,2301.0,1940.0,1792.0,2693.0,2351.0,2540.0,2229.0,1682.0,1631.0,1887.0,1791.0,2177.0,2995.0,2329.0,2231.0,1892.0,2492.0,2489.0,2404.0,2129.0,2876.0,2575.0,2196.0,2537.0,2288.0,2964.0,2171.0,2154.0,2347.0,2589.0,2142.0,2733.0,2889.0,2359.0,2635.0,1744.0,2098.0,2648.0,2506.0,2179.0,2038.0
AAC6-Ib,436.0,374.0,318.0,281.0,195.0,439.0,375.0,290.0,458.0,433.0,216.0,302.0,283.0,445.0,272.0,395.0,229.0,330.0,284.0,481.0,213.0,309.0,314.0,234.0,370.0,432.0,278.0,304.0,277.0,311.0,376.0,347.0,252.0,286.0,401.0,314.0,373.0,336.0,433.0,345.0,242.0,317.0,226.0,282.0,566.0,423.0,449.0,432.0,309.0,246.0,516.0,413.0,303.0,349.0
ABC_efflux,96434.0,93152.0,94702.0,89387.0,92677.0,90057.0,100521.0,96288.0,98344.0,93693.0,70992.0,92268.0,82470.0,89147.0,84557.0,83270.0,100619.0,90191.0,98088.0,92073.0,69606.0,76797.0,87857.0,76673.0,97464.0,105000.0,93199.0,81506.0,71486.0,92379.0,87526.0,88423.0,73887.0,92592.0,79775.0,92285.0,92171.0,97368.0,100026.0,86507.0,90320.0,93445.0,85502.0,72009.0,102714.0,98656.0,100732.0,96066.0,73859.0,75712.0,91426.0,95263.0,89324.0,84463.0
ANT,250.0,164.0,158.0,275.0,209.0,219.0,319.0,226.0,234.0,316.0,197.0,321.0,263.0,196.0,244.0,197.0,221.0,190.0,206.0,304.0,204.0,183.0,168.0,310.0,179.0,275.0,243.0,296.0,226.0,187.0,303.0,238.0,137.0,350.0,256.0,223.0,190.0,273.0,230.0,238.0,258.0,195.0,246.0,149.0,290.0,157.0,175.0,222.0,214.0,202.0,186.0,215.0,204.0,155.0
ANT2,140.0,156.0,185.0,137.0,192.0,181.0,239.0,169.0,232.0,182.0,86.0,222.0,143.0,140.0,124.0,169.0,140.0,141.0,148.0,133.0,140.0,118.0,108.0,117.0,106.0,244.0,139.0,136.0,63.0,120.0,214.0,136.0,123.0,135.0,152.0,98.0,209.0,228.0,260.0,101.0,154.0,81.0,159.0,135.0,148.0,155.0,160.0,109.0,79.0,162.0,216.0,187.0,152.0,138.0
ANT3,43.0,22.0,34.0,5.0,78.0,62.0,25.0,67.0,48.0,20.0,17.0,40.0,33.0,64.0,52.0,18.0,61.0,32.0,54.0,20.0,41.0,31.0,28.0,16.0,33.0,40.0,25.0,56.0,7.0,6.0,23.0,45.0,21.0,95.0,16.0,28.0,7.0,93.0,104.0,39.0,6.0,22.0,60.0,25.0,35.0,33.0,17.0,43.0,29.0,11.0,71.0,36.0,58.0,84.0
