feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
CBM11.hmm	group	T_GUS	1.05995843489098	0.195012453625636	21	0	3.03506217539313e-05	0.0108906230963624
CBM47.hmm	group	T_GUS	0.666942594999372	0.150084453756854	21	1	0.000278568564555727	0.0108906230963624
GH100.hmm	group	T_GUS	0.655791377833601	0.151442686767007	21	7	0.000360616658819948	0.0108906230963624
GH107.hmm	group	T_GUS	1.09453442932865	0.21639284829781	21	0	6.98392757525654e-05	0.0108906230963624
GH125.hmm	group	T_GUS	-0.259885934134518	0.0573088171453697	21	21	0.000226557829976071	0.0108906230963624
GH20.hmm	group	T_GUS	-0.152942481513934	0.032419269152923	21	21	0.000149838011407324	0.0108906230963624
GH24.hmm	group	T_GUS	-0.294689109589316	0.0659820937078426	21	21	0.000264739056599441	0.0108906230963624
GH47.hmm	group	T_GUS	-0.303504630859427	0.0665776597252413	21	7	0.000214649077321412	0.0108906230963624
GH5_36.hmm	group	T_GUS	0.446075832283296	0.101473947869401	21	0	0.000310556623105111	0.0108906230963624
PL1_4.hmm	group	T_GUS	1.8078775111681	0.413873951637734	21	0	0.000330817021677543	0.0108906230963624
PL1.hmm	group	T_GUS	0.7257099147882	0.14850020823753	21	16	0.000102389770165607	0.0108906230963624
PL10_2.hmm	group	T_GUS	1.35974078772831	0.273477804018877	21	0	8.46254728013574e-05	0.0108906230963624
PL11.hmm	group	T_GUS	0.320976647834439	0.0701341241854471	21	21	0.000206093058753064	0.0108906230963624
PL20.hmm	group	T_GUS	0.607476126866087	0.126452953876451	21	0	0.000123360024804863	0.0108906230963624
PL26.hmm	group	T_GUS	0.435435253863806	0.0999197392792314	21	21	0.000338689111443978	0.0108906230963624
AA3_1.hmm	group	T_GUS	-0.143770938346875	0.0337104670977377	21	21	0.0004185763098754	0.0110944279122674
CE15.hmm	group	T_GUS	0.37098839299521	0.0875814906630433	21	21	0.000447138560671027	0.0110944279122674
GH52.hmm	group	T_GUS	1.05863148497197	0.250953489228641	21	0	0.00046532920603329	0.0110944279122674
GH66.hmm	group	T_GUS	-0.194640667299007	0.0454689395039026	21	6	0.000403712483313943	0.0110944279122674
CBM61.hmm	group	T_GUS	0.443260754317616	0.110867458729226	21	8	0.000769500065647545	0.0134070588360899
GH13_2.hmm	group	T_GUS	-0.307349526259182	0.0758701643198521	21	13	0.000681951198304528	0.0134070588360899
GH43_17.hmm	group	T_GUS	0.604090284510119	0.148078053882846	21	3	0.000638910428579761	0.0134070588360899
GH5_13.hmm	group	T_GUS	-0.264045353560985	0.0659611775373697	21	21	0.000760887019179384	0.0134070588360899
GT14.hmm	group	T_GUS	-0.311932533927848	0.0773529409856183	21	3	0.000711230344415948	0.0134070588360899
GT25.hmm	group	T_GUS	-0.169078506183656	0.0421095851442953	21	21	0.000740042391974896	0.0134070588360899
GT77.hmm	group	T_GUS	-0.6730767740331	0.164533626620363	21	0	0.000622668484600795	0.0134070588360899
GH13_36.hmm	group	T_GUS	-0.261254458488948	0.0663019585992119	21	21	0.000877992647255368	0.0137974925617624
GH43_9.hmm	group	T_GUS	-0.274289172044553	0.069228227061877	21	21	0.000835481019569878	0.0137974925617624
PL11_2.hmm	group	T_GUS	0.593942533505474	0.150833234798705	21	9	0.000883283188280593	0.0137974925617624
GH43_31.hmm	group	T_GUS	-0.446393172746258	0.114433245301738	21	0	0.000960822567631146	0.0145084207712303
CBM63.hmm	group	T_GUS	0.339796519268165	0.088211575745457	21	0	0.00107419969843708	0.0152066394809999
PL22_2.hmm	group	T_GUS	0.533591088573365	0.138325635647324	21	21	0.00106094598557542	0.0152066394809999
GH13_4.hmm	group	T_GUS	-0.455544282584291	0.119507125506271	21	11	0.00117746521720142	0.015687992452713
GH44.hmm	group	T_GUS	0.350997536360569	0.0919508546384489	21	21	0.00116311698547112	0.015687992452713
CBM59.hmm	group	T_GUS	1.65032340243576	0.437120473245555	21	0	0.00127950739291004	0.0162721513911601
GH133.hmm	group	T_GUS	0.216914507938126	0.0575248822136454	21	21	0.00129315110393325	0.0162721513911601
CE4.hmm	group	T_GUS	-0.075206460975262	0.0202523773829196	21	21	0.00147380669476131	0.0175693271770229
GH97.hmm	group	T_GUS	-0.100761673986324	0.0271156703539403	21	21	0.00146532660483923	0.0175693271770229
GH145.hmm	group	T_GUS	0.274718471431546	0.0749458951350635	21	21	0.00164383610527353	0.0186164438922228
GH81.hmm	group	T_GUS	0.789831444259679	0.214920297925471	21	4	0.00160885911390726	0.0186164438922228
CBM50.hmm	group	T_GUS	-0.202904632870839	0.0555558276880445	21	21	0.00169436866536028	0.0187207074489806
PL2.hmm	group	T_GUS	1.66884434848323	0.45920342405029	21	0	0.00176546424542434	0.0190417929327911
GH30.hmm	group	T_GUS	-0.124986411759341	0.0347499074847895	21	21	0.00192265039089526	0.0202548983040826
GH143.hmm	group	T_GUS	0.525300355113609	0.146893949160796	21	2	0.00201528700286141	0.020748295734005
GT89.hmm	group	T_GUS	0.264596907929379	0.0741984763434564	21	21	0.002061549871111	0.020752935369184
GH13_21.hmm	group	T_GUS	-0.441999200700384	0.125019333261797	21	10	0.00221012098099096	0.021613905343638
GT46.hmm	group	T_GUS	0.236839808326874	0.0671116213603263	21	12	0.0022425023204216	0.021613905343638
GH43_11.hmm	group	T_GUS	0.267425997511482	0.0761492287464321	21	21	0.00233168761572077	0.0220053018733648
CE12.hmm	group	T_GUS	0.271955606869376	0.0779181042956163	21	21	0.00244879012001979	0.0221638604632935
GH45.hmm	group	T_GUS	2.28826707362151	0.656203225555283	21	0	0.0024663138894694	0.0221638604632935
GH5_2.hmm	group	T_GUS	0.593493209205894	0.170617343040075	21	0	0.00251504908335127	0.0221638604632935
GT51.hmm	group	T_GUS	-0.102068663282273	0.029385608907062	21	21	0.00254419590307122	0.0221638604632935
PL6_2.hmm	group	T_GUS	0.530666023234667	0.15451880223161	21	4	0.00277997026564878	0.0237608779309226
CBM23.hmm	group	T_GUS	0.777255235302859	0.228116258948037	21	0	0.00295541455907026	0.0239772149062633
GH17.hmm	group	T_GUS	-0.125894820916835	0.0369628330781176	21	21	0.00296407071688906	0.0239772149062633
GH23.hmm	group	T_GUS	-0.10629904046418	0.031084986725898	21	21	0.00287396458131951	0.0239772149062633
GT104.hmm	group	T_GUS	-0.284141818092446	0.0837517849755875	21	21	0.00305471615896085	0.0242769547370046
GH89.hmm	group	T_GUS	-0.282994842698249	0.0848246211053673	21	21	0.00346998873834496	0.0260528290403476
GT20.hmm	group	T_GUS	-0.0717941371320392	0.0215508834711552	21	21	0.0035082175970446	0.0260528290403476
