feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K13337	group	T_GUS	-2.09241518592289	0.240358238310203	21	0	4.67253600962632e-08	0.000393193905210055
K03418	group	T_GUS	0.210667014620727	0.0319552972591791	21	21	2.61082175505975e-06	0.0109850325344139
K01732	group	T_GUS	2.83142525314863	0.455947367158775	21	0	5.76594147190175e-06	0.0141026490524712
K12942	group	T_GUS	0.261991202190442	0.0434292510721915	21	21	8.37947061941249e-06	0.0141026490524712
K13989	group	T_GUS	0.711631659422843	0.117518404711163	21	0	7.98300377809862e-06	0.0141026490524712
K00064	group	T_GUS	0.149459451224012	0.0255448313770755	21	21	1.23402414366265e-05	0.0142248011855634
K00096	group	T_GUS	0.246718897821628	0.045456748385606	21	21	3.08724493685603e-05	0.0142248011855634
K01081	group	T_GUS	0.15551979974465	0.0283642529483026	21	21	2.73493526506602e-05	0.0142248011855634
K01684	group	T_GUS	0.158115148947496	0.0297466913815169	21	21	3.94969013162485e-05	0.0142248011855634
K01917	group	T_GUS	0.223293143227897	0.0419446095221548	21	21	3.87954542478177e-05	0.0142248011855634
K02521	group	T_GUS	0.400215061163946	0.0720828820342799	21	3	2.35190508872091e-05	0.0142248011855634
K03573	group	T_GUS	0.875502573488519	0.16479120558788	21	0	3.9722580185675e-05	0.0142248011855634
K03698	group	T_GUS	0.502894201399878	0.0932654211670359	21	21	3.33693882396868e-05	0.0142248011855634
K04114	group	T_GUS	0.637237312394829	0.11879194646652	21	11	3.5466682491e-05	0.0142248011855634
K05889	group	T_GUS	0.271692933077696	0.0489328230077437	21	21	2.35080692242778e-05	0.0142248011855634
K07046	group	T_GUS	0.153745916698887	0.0285286544637222	21	21	3.35824431478362e-05	0.0142248011855634
K07313	group	T_GUS	0.150544103111623	0.0267189340131259	21	21	1.96734941340621e-05	0.0142248011855634
K08235	group	T_GUS	1.22774058902193	0.230722092526539	21	0	3.89862177640249e-05	0.0142248011855634
K09950	group	T_GUS	0.399494053679654	0.0739711811666467	21	20	3.27460373768697e-05	0.0142248011855634
K10556	group	T_GUS	0.213514194385701	0.0404356086419717	21	21	4.26678003592809e-05	0.0142248011855634
K12073	group	T_GUS	1.01859720018673	0.180150212734007	21	0	1.8847871395874e-05	0.0142248011855634
K12190	group	T_GUS	-1.59599780927913	0.296890870641733	21	0	3.4590278844636e-05	0.0142248011855634
K13086	group	T_GUS	1.26337753539934	0.239869996386305	21	6	4.39506631996016e-05	0.0142248011855634
K13687	group	T_GUS	0.416352149039068	0.0766911033186941	21	21	3.07781255297054e-05	0.0142248011855634
K14463	group	T_GUS	0.706378153177742	0.134105140429126	21	1	4.39099587982652e-05	0.0142248011855634
K15643	group	T_GUS	0.535130905473637	0.0969260414742041	21	21	2.51690457262085e-05	0.0142248011855634
K00010	group	T_GUS	0.194015935638185	0.0370852849513663	21	21	4.75163418968885e-05	0.0144527919411395
K01060	group	T_GUS	0.204758845264617	0.0400480353279067	21	21	6.18301259513988e-05	0.0144527919411395
K01630	group	T_GUS	0.278645539673393	0.0534273532596804	21	21	4.92502889885259e-05	0.0144527919411395
K01661	group	T_GUS	0.24317119984972	0.0471723645285452	21	21	5.63095586296569e-05	0.0144527919411395
K05305	group	T_GUS	0.962656463437281	0.18612310963133	21	0	5.42023218082535e-05	0.0144527919411395
K05384	group	T_GUS	0.36883538587388	0.0710395677229316	21	21	5.18731442603041e-05	0.0144527919411395
K07281	group	T_GUS	0.313252285551789	0.0609946398375917	21	21	5.87629813079569e-05	0.0144527919411395
K07282	group	T_GUS	0.14568475916218	0.0282924950644212	21	21	5.70279368651816e-05	0.0144527919411395
K09928	group	T_GUS	0.357903014742367	0.0698297214515291	21	21	6.01315671883468e-05	0.0144527919411395
K10440	group	T_GUS	0.141058419175792	0.0273325213284379	21	21	5.55802776410651e-05	0.0144527919411395
K02057	group	T_GUS	0.13360306093253	0.0267566737895757	21	21	8.07052038771466e-05	0.0151141702547461
K02441	group	T_GUS	0.133824904752571	0.0269198133980043	21	21	8.47753407194107e-05	0.0151141702547461
K06399	group	T_GUS	0.878120553981297	0.176631954095669	21	7	8.47320278029917e-05	0.0151141702547461
K07071	group	T_GUS	0.211201144385197	0.0416856021621094	21	21	6.8539407179404e-05	0.0151141702547461
K07663	group	T_GUS	0.434323026026865	0.0866154109408956	21	12	7.69874505886424e-05	0.0151141702547461
K07748	group	T_GUS	0.326647755498207	0.0652403659592064	21	21	7.82957818764001e-05	0.0151141702547461
K07996	group	T_GUS	0.662075603669165	0.132410641152473	21	13	7.94697280546387e-05	0.0151141702547461
K09744	group	T_GUS	0.451863313460593	0.0907641112649856	21	3	8.34230893299057e-05	0.0151141702547461
K10120	group	T_GUS	0.83978816248826	0.16801750398797	21	0	7.9816672204697e-05	0.0151141702547461
K10439	group	T_GUS	0.12817636261746	0.0254468768632678	21	21	7.31973003166713e-05	0.0151141702547461
K10907	group	T_GUS	0.263165589201983	0.0518431104113544	21	21	6.70799798815414e-05	0.0151141702547461
K15836	group	T_GUS	0.236114223924368	0.0475679806310439	21	21	8.62127358559491e-05	0.0151141702547461
K13020	group	T_GUS	0.159649348346079	0.0322743053804677	21	21	8.9570741539508e-05	0.0153824038786726
K11384	group	T_GUS	0.677116211452583	0.138418700057866	21	20	0.000101278025973163	0.0170450917712834
K15580	group	T_GUS	0.460897385429887	0.0946767463445889	21	21	0.000106803449121741	0.0176225691050873
K02056	group	T_GUS	0.111283665935835	0.0229458401326159	21	21	0.00011127628377341	0.0180074986144854
K00827	group	T_GUS	0.445567653315285	0.0942337055487822	21	20	0.000146270738820024	0.0180267996597184
K00936	group	T_GUS	0.187590993822304	0.0392150459217636	21	21	0.000129131165516991	0.0180267996597184
