feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K08884	group	T_GUS	0.229145889312983	0.0508087439005352	21	21	6.48369229850373e-06	0.0479244972358391
K13587	group	T_GUS	0.274751809129442	0.0626008962088998	21	21	1.13902548391774e-05	0.0479244972358391
K03088	group	T_GUS	0.120206847771187	0.0310200306419513	21	21	0.000106565020339012	0.224186161538197
K07114	group	T_GUS	0.220267712450173	0.0567193339159343	21	21	0.000102977133217059	0.224186161538197
K12600	group	T_GUS	0.186459635562444	0.0493904403964542	21	21	0.000159868362489787	0.269058454070311
K00001	group	T_GUS	0.0168558642364938	0.219187825747767	21	21	0.938701934544053	0.999943380680801
K00003	group	T_GUS	0.042258679376948	0.107421701347679	21	21	0.694031067461047	0.999943380680801
K00004	group	T_GUS	0.0237489380267147	0.713070821244883	21	21	0.973431238697664	0.999943380680801
K00005	group	T_GUS	0.275008482231732	1.37853551617451	21	21	0.841876950268043	0.999943380680801
K00006	group	T_GUS	-0.401837310510964	3.53758095420462	21	18	0.909562032810769	0.999943380680801
K00007	group	T_GUS	-0.0508587271447686	0.426364916014605	21	21	0.905049960573091	0.999943380680801
K00008	group	T_GUS	0.0664786771189933	0.092326934360962	21	21	0.471503093232722	0.999943380680801
K00009	group	T_GUS	-0.032995275114378	0.721873070142198	21	21	0.963543096901791	0.999943380680801
K00010	group	T_GUS	0.155606944189574	0.0496762176886761	21	21	0.00173369690103131	0.999943380680801
K00011	group	T_GUS	-0.0986220043317749	0.434595505310731	21	21	0.820479522444062	0.999943380680801
K00012	group	T_GUS	0.0256982348145733	0.092645425138491	21	21	0.781486291842899	0.999943380680801
K00013	group	T_GUS	0.0440911642794815	0.107707363081066	21	21	0.682274957391147	0.999943380680801
K00014	group	T_GUS	-0.00608593517563675	0.118266851424646	21	21	0.958959493754956	0.999943380680801
K00015	group	T_GUS	0.0282017481967933	0.126042336359625	21	21	0.822953224150507	0.999943380680801
K00016	group	T_GUS	0.20389052887697	0.430348745041898	21	21	0.635656963046252	0.999943380680801
K00018	group	T_GUS	0.0685811502056531	0.28041270031029	21	21	0.806787693865374	0.999943380680801
K00019	group	T_GUS	-0.0211486234074459	0.10989379279363	21	21	0.847392844705817	0.999943380680801
K00020	group	T_GUS	0.0210260587157665	0.0836502939239131	21	21	0.801538370421141	0.999943380680801
K00021	group	T_GUS	0.0182537368356655	0.660119294559767	21	21	0.977939564803188	0.999943380680801
K00022	group	T_GUS	-0.44758474222136	3.14409928528858	21	21	0.886797975119105	0.999943380680801
K00023	group	T_GUS	-0.114657151860363	0.136971035157389	21	21	0.402541701759133	0.999943380680801
K00024	group	T_GUS	0.0444636154756836	0.160406869736412	21	21	0.781632134341916	0.999943380680801
K00025	group	T_GUS	-0.0115655971533412	0.164582610694097	21	21	0.943976936350934	0.999943380680801
K00026	group	T_GUS	-0.339675904075633	2.22787815779782	21	20	0.878819322524899	0.999943380680801
K00027	group	T_GUS	-0.025556615249935	0.0893412941172149	21	21	0.774835213567416	0.999943380680801
K00028	group	T_GUS	-0.0109215213606587	1.90234367586369	21	21	0.995419300142611	0.999943380680801
K00029	group	T_GUS	0.0390118804594928	0.222248948309522	21	21	0.860661352760697	0.999943380680801
K00030	group	T_GUS	-0.00678322926860535	0.242168228958523	21	21	0.977653855386858	0.999943380680801
K00031	group	T_GUS	-0.00972460785558332	0.0889712313253033	21	21	0.912964080620752	0.999943380680801
