,Sample_ID,VIGS_gene,FW_root_g,FW_shoot_g,Orb_pmol_ml_g,Sol_pmol_ml_g,DDH_response_ml_g,HO_response_ml_g,further_analysis
1,T_712_2,CYP712,1.76,9.92,0.043870927,0.010201645,0.090727252,0.006026092,yes
2,T_712_3,CYP712,1.51,10.16,0.544015217,0.098520809,0.863498955,0.00257755,no
3,T_712_4,CYP712,2.3,11.28,0.018929252,0.010936107,0.102735086,0.017390883,yes
4,T_712_5,CYP712,1.51,8.9,0.090990204,0.031904815,0.544251115,0.006000902,no
5,T_712_6,CYP712,1.97,10.19,0.032283392,0.01053524,0.0945929,0.003053844,yes
6,T_712_7,CYP712,1.79,11.01,0.02263495,0.004089222,0.0370187,0.003707147,yes
7,T_712_8,CYP712,1.96,11.22,0.018629774,0.017977842,0.174957375,0.001955084,yes
8,T_712_9,CYP712,1.3,7.71,0.027513912,0.008145629,0.066598147,0.008424812,yes
9,T_712_11,CYP712,1.72,8.97,0.036815849,0.042899993,0.42392589,0.0001,yes
10,T_712_13,CYP712,2.18,12.02,0.047474761,0.016584742,0.162483571,0.007168468,yes
11,T_712_14,CYP712,1.4,9.62,0.058653461,0.015163207,0.168274793,0.00558139,yes
12,T_712_16,CYP712,1.62,10.83,0.03866713,0.017733751,0.174217954,0.003289976,yes
13,T_712_18,CYP712,1.59,8.48,0.016306485,0.018440957,0.174983732,0.006585543,yes
14,T_722_1,CYP722,2.07,10.82,0.001712521,0.009531126,0.089285652,0.0001,yes
15,T_722_4,CYP722,1.11,6.21,NA,NA,NA,NA,no
16,T_722_5,CYP722,1.68,9.05,0.002069299,0.01280014,0.114423669,0.005140153,yes
17,T_722_6,CYP722,1.48,7.95,0.002552445,0.012738843,0.103718943,0.004837417,yes
18,T_722_9,CYP722,1.87,7.84,0.002087983,0.011710619,0.116244822,0.003339104,yes
19,T_722_11,CYP722,1.32,7.02,0.017499535,0.075742889,0.751963066,0.006743089,no
20,T_722_12,CYP722,1.27,5.37,0.00566524,0.022816434,0.243891808,0.0001,yes
21,T_722_13,CYP722,1.18,6.78,0.002158525,0.015328992,0.138950111,0.002521078,yes
22,T_722_14,CYP722,1.49,8.84,0.001108032,0.010247814,0.096484407,0.001887166,yes
23,T_722_15,CYP722,1.92,9.62,0.009237428,0.040442506,0.406829415,0.0001,yes
24,T_722_16,CYP722,1.73,9.04,0.001013206,0.007528334,0.074398679,0.001604595,yes
25,T_722_17,CYP722,2.07,11.67,0.002084166,0.008560641,0.097016251,0.001191049,yes
26,T_CCD8_1,CCD8,1.66,10.51,0,0.00110779,0.011388083,0.0001,yes
27,T_CCD8_3,CCD8,1.55,8.6,0,0.000722146,0.008445299,0,yes
28,T_CCD8_5,CCD8,1.41,6.77,0,0.00292069,0.025952338,0.0001,yes
