,T_MMA_12,T_CCD8_3,T_MMA_13,T_MMA_11,T_CCD8_1,T_CCD8_5,T_722_9,T_CCD8_7,T_GUS_25,T_712_2,T_GUS_18,T_GUS_26,T_GUS_23,T_712_4,T_GUS_20,T_712_7,T_712_6,T_GUS_21,T_712_18,T_EP_4,T_712_14,T_712_16,T_GUS_13,T_712_8,T_712_9,T_GUS_12,T_712_13,T_GUS_16,T_EP_2,T_EP_3,T_EP_1,T_712_11,T_CCD8_10,T_722_5,T_722_16,T_722_17,T_MMA_1,T_CCD8_9,T_MMA_3,T_CCD8_13,T_722_6,T_722_15,T_CCD8_8,T_CCD8_16,T_MMA_6,T_CCD8_15,T_MMA_5,T_722_1,T_MMA_4,T_CCD8_14
PF16197.7,1114.0,295.0,1228.0,350.0,1280.0,358.0,1297.0,1569.0,1012.0,333.0,1670.0,1124.0,1515.0,660.0,1152.0,552.0,341.0,691.0,1162.0,1765.0,1128.0,444.0,904.0,808.0,984.0,1634.0,233.0,1910.0,1140.0,1484.0,1883.0,748.0,322.0,1525.0,948.0,1473.0,1263.0,771.0,1116.0,1357.0,1183.0,1094.0,1158.0,1293.0,916.0,1138.0,398.0,1396.0,947.0,1427.0
PF02801.24,1693.0,922.0,1590.0,750.0,1718.0,888.0,1740.0,2612.0,1658.0,419.0,2610.0,1661.0,2316.0,978.0,1820.0,1225.0,934.0,1100.0,1926.0,2393.0,1748.0,1208.0,1294.0,2107.0,1352.0,2212.0,725.0,2487.0,1646.0,1827.0,2891.0,1618.0,752.0,2276.0,1309.0,1883.0,1824.0,1276.0,1748.0,1808.0,2390.0,1926.0,1630.0,1788.0,1252.0,1495.0,1087.0,2107.0,1960.0,1925.0
PF00109.28,3246.0,1687.0,2858.0,1207.0,3047.0,1495.0,3369.0,4392.0,3065.0,945.0,4642.0,2956.0,4024.0,1756.0,3254.0,2185.0,1717.0,2029.0,3344.0,4084.0,3086.0,2344.0,2401.0,3785.0,2412.0,3726.0,1309.0,4122.0,2760.0,2948.0,4887.0,2838.0,1268.0,3744.0,2592.0,3244.0,3119.0,2245.0,3114.0,3399.0,4256.0,3199.0,2650.0,3115.0,2242.0,2764.0,1878.0,3799.0,3453.0,3616.0
PF08990.13,76.0,,,,,,,,,205.0,60.0,50.0,,86.0,,89.0,138.0,,,,55.0,,88.0,,,55.0,,,,,,57.0,,,,,,,,,,,,,,,55.0,76.0,,
PF12697.9,349.0,74.0,194.0,113.0,435.0,207.0,189.0,296.0,107.0,,533.0,248.0,92.0,177.0,222.0,371.0,265.0,94.0,156.0,260.0,290.0,249.0,321.0,121.0,122.0,291.0,253.0,240.0,260.0,,467.0,269.0,25.0,195.0,175.0,256.0,164.0,124.0,259.0,91.0,224.0,140.0,87.0,107.0,73.0,138.0,180.0,584.0,181.0,127.0
PF00550.27,1921.0,859.0,2110.0,970.0,2047.0,940.0,2028.0,3043.0,2300.0,363.0,2601.0,1932.0,3160.0,1136.0,1766.0,1262.0,787.0,1134.0,1732.0,2410.0,1905.0,1246.0,1641.0,1718.0,1369.0,2731.0,663.0,2632.0,1845.0,1852.0,3128.0,1553.0,975.0,2382.0,1435.0,2437.0,2044.0,1188.0,1772.0,2269.0,2198.0,1818.0,1601.0,2178.0,1316.0,2097.0,1300.0,2455.0,2359.0,2324.0
PF12680.9,279.0,20.0,,347.0,16.0,,109.0,,20.0,,263.0,240.0,,165.0,25.0,317.0,38.0,27.0,30.0,,177.0,16.0,265.0,32.0,,280.0,,,36.0,,,171.0,371.0,,37.0,,50.0,,,32.0,45.0,,,299.0,,,223.0,305.0,,70.0
PF08659.12,995.0,501.0,848.0,271.0,1007.0,484.0,1248.0,1457.0,1070.0,420.0,1524.0,1156.0,1376.0,871.0,1188.0,736.0,372.0,708.0,955.0,1394.0,1249.0,335.0,1068.0,502.0,911.0,1505.0,390.0,1708.0,1158.0,1206.0,1356.0,580.0,449.0,1269.0,1003.0,1185.0,1015.0,732.0,949.0,1283.0,1118.0,1236.0,1112.0,1264.0,578.0,931.0,652.0,1524.0,789.0,1409.0
PF00501.30,3204.0,1903.0,3241.0,2346.0,3330.0,2496.0,2799.0,5128.0,3674.0,1103.0,3952.0,2680.0,6480.0,1718.0,2500.0,2023.0,1470.0,1372.0,2072.0,2832.0,1989.0,2201.0,2449.0,2652.0,1915.0,4443.0,1767.0,4188.0,3357.0,2515.0,4358.0,1264.0,3168.0,3621.0,2135.0,4616.0,3034.0,1473.0,2621.0,2899.0,3206.0,2302.0,1739.0,2786.0,2309.0,3396.0,1748.0,3689.0,4164.0,3900.0
PF00975.22,384.0,123.0,471.0,286.0,300.0,54.0,386.0,722.0,618.0,,596.0,494.0,685.0,388.0,256.0,439.0,245.0,180.0,288.0,453.0,386.0,29.0,455.0,162.0,273.0,742.0,122.0,567.0,361.0,317.0,598.0,142.0,343.0,368.0,224.0,516.0,265.0,163.0,248.0,434.0,403.0,313.0,312.0,584.0,70.0,260.0,357.0,366.0,196.0,437.0
