feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PL1.hmm	group	T_GUS	0.787085271677895	0.149323215270175	21	21	1.35669577472329e-07	3.69379548540238e-05
PL11.hmm	group	T_GUS	0.331783304040136	0.0639984566983552	21	21	2.16898488492243e-07	3.69379548540238e-05
PL26.hmm	group	T_GUS	0.460454830433965	0.0892047863852543	21	21	2.44622217576316e-07	3.69379548540238e-05
CE15.hmm	group	T_GUS	0.381829325682472	0.0765477657032718	21	21	6.09701707738112e-07	6.90487184013412e-05
CBM11.hmm	group	T_GUS	1.14037033058962	0.237240092532447	21	21	1.53350235961174e-06	0.000138935313780823
GH100.hmm	group	T_GUS	0.689394339421162	0.150840132446259	21	21	4.86877366257497e-06	0.000297843520943759
PL11_2.hmm	group	T_GUS	0.602238114088332	0.132239582971493	21	21	5.25992972969111e-06	0.000297843520943759
PL22_2.hmm	group	T_GUS	0.584918443591696	0.126909771736339	21	21	4.04743659777946e-06	0.000297843520943759
AA3_1.hmm	group	T_GUS	-0.145627001312838	0.0329114830364819	21	21	9.65279879582516e-06	0.000485857539389867
GH20.hmm	group	T_GUS	-0.155336008330124	0.0352955988382949	21	21	1.07752029319077e-05	0.00048811669281542
GH52.hmm	group	T_GUS	1.07948729655368	0.247042885263418	21	21	1.24454246628211e-05	0.000512525215659814
GH81.hmm	group	T_GUS	0.934893690167411	0.219455548235452	21	21	2.04372503093907e-05	0.000771506199179497
CE12.hmm	group	T_GUS	0.281270088866444	0.0668331290043141	21	21	2.57022764787151e-05	0.000895625480373688
GH24.hmm	group	T_GUS	-0.300600429935649	0.0721232062151078	21	21	3.07453908982299e-05	0.000994833005492724
GH44.hmm	group	T_GUS	0.375742727710119	0.0910155566543717	21	21	3.65399158637752e-05	0.00110350545908601
GH109.hmm	group	T_GUS	0.071180177326625	0.017802006345429	21	21	6.37625031215373e-05	0.00169908317141508
GH43_17.hmm	group	T_GUS	0.642139985713646	0.160547631809437	21	21	6.3426798132671e-05	0.00169908317141508
GH13_21.hmm	group	T_GUS	-0.46804929635332	0.120075403065423	21	21	9.70058401753383e-05	0.00242361556330538
GH45.hmm	group	T_GUS	2.0224120275648	0.520353374888578	21	18	0.000101652749895811	0.00242361556330538
PL4.hmm	group	T_GUS	0.235606459606376	0.0613715305357999	21	21	0.000123526972198049	0.00279788592028582
